file,theme,out,changed_props,contrast_min,contrast_avg,contrast_max,target_min,bg
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-badge.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-badge.light.svg,3,1.04,15.03,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-badge.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-badge.dark.svg,13,1.06,11.58,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min copy.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min copy.light.svg,3,1.04,14.19,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min copy.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min copy.dark.svg,10,1.06,12.18,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min.light.svg,3,1.04,14.19,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-footer-min.dark.svg,10,1.06,12.18,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-header-lockup.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-header-lockup.light.svg,3,1.04,14.19,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-header-lockup.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-header-lockup.dark.svg,10,1.06,12.18,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-heritage-shield.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-heritage-shield.light.svg,4,1.0,12.83,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-heritage-shield.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-heritage-shield.dark.svg,14,1.06,12.19,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-hero-emblem-animated.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-hero-emblem-animated.light.svg,4,1.04,14.47,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-hero-emblem-animated.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-hero-emblem-animated.dark.svg,17,1.06,11.63,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark-mono.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark-mono.light.svg,3,1.04,9.98,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark-mono.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark-mono.dark.svg,3,15.7,17.73,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark.light.svg,3,1.04,13.28,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-mark.dark.svg,8,1.06,12.82,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-round.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-round.light.svg,4,1.04,12.91,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-round.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-round.dark.svg,9,1.06,13.37,19.75,4.5,#0a0a0f
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-square.svg,light,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-square.light.svg,4,1.04,12.91,18.92,4.5,#fafafa
C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-square.svg,dark,C:\barber-cam\public-preview-barber-cam\assets\img\logo\barbercam-social-square.dark.svg,9,1.06,13.37,19.75,4.5,#0a0a0f
